Date,Open,High,Low,Close,Adj Close,Volume
2007-12-20,9.135714,10.000000,8.928571,9.742857,8.926566,144207221
2007-12-21,9.571428,10.714285,9.571428,10.714285,9.816603,113446753
2007-12-24,11.035714,11.328571,10.628571,11.035714,10.111104,115394160
2007-12-25,10.842857,11.185714,10.714285,10.985714,10.065292,46451995
2007-12-26,11.071428,11.985714,11.035714,11.650000,10.673921,64950216
2007-12-27,11.607142,11.821428,11.428571,11.671428,10.693555,43749333
2007-12-28,11.757142,11.800000,11.321428,11.371428,10.418688,40174967
2008-01-02,11.371428,11.664285,11.207142,11.414285,10.457955,36634320
2008-01-03,11.435714,11.435714,10.985714,11.292857,10.346702,42321822
2008-01-04,11.300000,11.714285,11.300000,11.414285,10.457955,29721242
2008-01-07,11.285714,12.057142,11.164285,11.907142,10.909519,49081037
2008-01-08,11.900000,11.900000,11.357142,11.428571,10.471045,35563371
2008-01-09,11.342857,11.778571,11.300000,11.642857,10.667377,21594417
2008-01-10,11.642857,12.321428,11.564285,11.935714,10.935698,43670712
2008-01-11,12.071428,12.500000,11.800000,12.278571,11.249829,38227628
2008-01-14,12.328571,12.700000,12.150000,12.200000,11.177840,29862268
2008-01-15,12.200000,12.564285,12.071428,12.342857,11.308729,20193544
2008-01-16,12.242857,12.307142,11.842857,11.885714,10.889887,25620147
2008-01-17,11.785714,12.114285,11.142857,11.535714,10.569211,26572498
2008-01-18,11.428571,11.921428,11.214285,11.771428,10.785175,22884076
2008-01-21,11.785714,11.821428,11.078571,11.128571,10.196180,17965607
2008-01-22,10.778571,10.985714,10.014285,10.014285,9.175254,26604636
2008-01-23,10.014285,10.700000,9.935714,10.614285,9.724983,24086664
2008-01-24,10.800000,11.521428,10.714285,11.400000,10.444867,26061953
2008-01-25,11.500000,11.907142,11.328571,11.407142,10.451410,24888004
2008-01-28,11.357142,11.700000,10.642857,10.914285,9.999848,22872613
2008-01-29,11.285714,11.771428,11.107142,11.642857,10.667377,26389928
2008-01-30,11.928571,12.064285,11.021428,11.235714,10.294346,27423376
2008-01-31,11.071428,11.214285,10.557142,10.607142,9.718438,16060342
2008-02-01,10.571428,10.950000,9.714285,10.242857,9.384675,18403525
2008-02-04,10.721428,11.264285,10.514285,11.250000,10.307435,18173948
2008-02-05,11.071428,11.350000,10.785714,10.950000,10.032570,13291443
2008-02-13,10.714285,10.850000,10.535714,10.657142,9.764247,7421190
2008-02-14,10.700000,10.964285,10.628571,10.785714,9.882049,6420425
2008-02-15,10.714285,10.714285,10.307142,10.500000,9.620274,10186159
2008-02-18,10.707142,10.914285,10.492857,10.721428,9.823149,10811103
2008-02-19,10.714285,11.021428,10.628571,10.978571,10.058747,10854033
2008-02-20,11.064285,11.242857,10.721428,10.750000,9.849327,12131628
2008-02-21,10.742857,11.185714,10.714285,11.107142,10.176547,12919548
2008-02-22,11.035714,11.064285,10.464285,10.642857,9.751160,10848626
2008-02-25,10.250000,10.457142,9.785714,9.942857,9.109810,10868699
2008-02-26,10.142857,10.464285,9.785714,10.157142,9.306140,9493934
2008-02-27,10.164285,10.321428,10.057142,10.278571,9.417396,8392973
2008-02-28,10.271428,10.285714,9.957142,10.071428,9.227609,8665738
2008-02-29,10.142857,10.278571,9.978571,10.121428,9.273418,6373305
2008-03-03,10.057142,10.392857,9.792857,10.321428,9.456662,12752740
2008-03-04,10.342857,10.435714,10.121428,10.271428,9.410851,11659708
2008-03-05,10.242857,10.457142,10.014285,10.228571,9.371585,11644781
2008-03-06,10.185714,10.421428,10.014285,10.192857,9.338864,11246226
2008-03-07,10.200000,10.364285,10.021428,10.207142,9.351952,7659085
2008-03-10,10.121428,10.142857,9.650000,9.692857,8.880755,9693936
2008-03-11,9.578571,9.907142,9.435714,9.864285,9.037819,6692856
2008-03-12,10.107142,10.200000,9.714285,9.721428,8.906932,8064278
2008-03-13,9.571428,10.357142,9.500000,10.064285,9.221065,16733561
2008-03-14,10.035714,10.178571,9.571428,9.742857,8.926566,8259946
2008-03-17,9.557142,9.642857,8.771428,8.792857,8.056160,13104162
2008-03-18,8.821428,9.035714,7.914285,8.050000,7.375543,12273545
