Date,Open,High,Low,Close,Adj Close,Volume
2004-05-11,1.643956,1.666692,1.626467,1.640458,1.076134,24030177
2004-05-12,1.643956,1.687678,1.640458,1.677185,1.100227,27396884
2004-05-13,1.682432,1.692925,1.675436,1.684181,1.104816,15172628
2004-05-14,1.687678,1.689427,1.643956,1.650952,1.083018,15327612
2004-05-17,1.650952,1.657947,1.617723,1.622970,1.064662,25239064
2004-05-18,1.640458,1.645705,1.598485,1.643956,1.078429,25988985
2004-05-19,1.647454,1.663194,1.619472,1.642207,1.077281,22254051
2004-05-20,1.642207,1.664943,1.617723,1.617723,1.073799,29619562
2004-05-21,1.624718,1.640458,1.617723,1.636961,1.086569,19821417
2004-05-24,1.633463,1.640458,1.619472,1.626467,1.079603,31845002
2004-05-25,1.635212,1.640458,1.610727,1.614225,1.071477,20737295
2004-05-26,1.612476,1.635212,1.607229,1.631714,1.083086,18882850
2004-05-27,1.633463,1.664943,1.619472,1.656198,1.099338,26157898
2004-05-28,1.656198,1.657947,1.640458,1.640458,1.088890,12749257
2004-05-31,null,null,null,null,null,null
2004-06-01,1.647454,1.678934,1.645705,1.664943,1.105142,29704165
2004-06-02,1.664943,1.687678,1.657947,1.661445,1.102820,27738438
2004-06-03,1.661445,1.661445,1.622970,1.622970,1.077282,17308491
2004-06-04,1.622970,1.657947,1.621221,1.628216,1.080764,10841756
2004-06-07,1.626467,1.626467,1.605481,1.615974,1.072638,18414587
2004-06-08,1.608978,1.628216,1.556512,1.574001,1.044778,29657209
2004-06-09,1.574001,1.580996,1.553014,1.556512,1.033169,23463898
2004-06-10,1.556512,1.580996,1.556512,1.574001,1.044778,15916860
2004-06-11,1.574001,1.593238,1.532027,1.535525,1.019238,31578828
2004-06-14,1.533776,1.535525,1.493552,1.504045,0.998343,26259231
2004-06-15,1.504045,1.593238,1.495301,1.563507,1.037812,30956290
2004-06-16,1.565256,1.580996,1.544269,1.567005,1.040134,21665981
2004-06-17,1.572252,1.577498,1.535525,1.537274,1.020399,11116959
2004-06-18,1.539023,1.549516,1.488305,1.514538,1.005308,29730090
2004-06-21,1.514538,1.547767,1.500547,1.546018,1.026203,13348689
2004-06-22,1.544269,1.567005,1.532027,1.542521,1.023882,11944810
2004-06-23,1.542521,1.554763,1.530278,1.549516,1.028525,10547987
2004-06-24,1.549516,1.556512,1.535525,1.539023,1.021560,7654975
2004-06-25,1.539023,1.565256,1.512789,1.519785,1.008790,13006506
2004-06-28,1.516287,1.539023,1.505794,1.512789,1.004147,11270376
2004-06-29,1.521534,1.551265,1.509292,1.544269,1.025042,12724092
2004-06-30,1.544269,1.553014,1.533776,1.537274,1.020399,13376392
2004-07-01,1.542521,1.579247,1.537274,1.575749,1.045938,23280405
2004-07-02,1.575749,1.596736,1.560009,1.577498,1.047099,26776371
2004-07-05,1.574001,1.600234,1.565256,1.598485,1.061029,13910268
2004-07-06,1.601983,1.629965,1.591489,1.605481,1.065673,29704914
2004-07-07,1.601983,1.608978,1.589741,1.589741,1.055225,12098730
2004-07-08,1.591489,1.607229,1.584494,1.605481,1.065673,9534361
2004-07-09,1.605481,1.621221,1.594987,1.600234,1.062191,11921343
2004-07-12,1.591489,1.591489,1.561758,1.565256,1.038973,18610374
2004-07-13,1.558261,1.577498,1.554763,1.572252,1.043617,8779333
2004-07-14,1.572252,1.594987,1.561758,1.589741,1.055225,22593449
2004-07-15,1.589741,1.629965,1.589741,1.629965,1.081925,37803736
2004-07-16,1.633463,1.657947,1.631714,1.642207,1.090051,29913726
2004-07-19,1.642207,1.677185,1.633463,1.663194,1.103981,28764729
2004-07-20,1.656198,1.664943,1.636961,1.642207,1.090051,27062792
2004-07-21,1.636961,1.645705,1.626467,1.643956,1.091212,9428408
2004-07-22,1.640458,1.647454,1.596736,1.607229,1.066833,35971688
2004-07-23,1.603732,1.621221,1.596736,1.619472,1.074960,23488554
2004-07-26,1.621221,1.638710,1.603732,1.624718,1.078442,32535652
2004-07-27,1.617723,1.636961,1.610727,1.621221,1.076121,21934408
2004-07-28,1.617723,1.635212,1.570503,1.584494,1.051742,22814349
2004-07-29,1.584494,1.610727,1.584494,1.607229,1.066833,14933414
2004-07-30,1.610727,1.614225,1.591489,1.593238,1.057547,15751064
2004-08-02,1.591489,1.591489,1.565256,1.575749,1.045938,14485850
2004-08-03,1.577498,1.577498,1.486556,1.491803,0.990217,67555102
2004-08-04,1.500547,1.533776,1.430592,1.516287,1.006469,98208309
2004-08-05,1.512789,1.514538,1.469067,1.472565,0.977447,18625738
2004-08-06,1.469067,1.505794,1.460323,1.484807,0.985573,21339637
2004-08-09,1.484807,1.512789,1.467318,1.502296,0.997182,19325228
2004-08-10,1.504045,1.525032,1.497049,1.521534,1.009952,16153462
2004-08-11,1.523283,1.528529,1.502296,1.514538,1.005308,9728169
2004-08-12,1.505794,1.505794,1.477812,1.497049,0.993699,16604279
2004-08-13,1.495301,1.530278,1.484807,1.523283,1.011112,39061448
2004-08-16,1.521534,1.542521,1.516287,1.521534,1.009952,15037680
2004-08-17,1.519785,1.530278,1.502296,1.516287,1.006469,11133369
2004-08-18,1.514538,1.546018,1.512789,1.532027,1.016917,22863895
2004-08-19,1.532027,1.540772,1.523283,1.525032,1.012273,15898912
2004-08-20,1.521534,1.556512,1.521534,1.539023,1.021560,11567605
2004-08-23,1.539023,1.539023,1.493552,1.498798,0.994860,18886721
2004-08-24,1.498798,1.514538,1.493552,1.507543,1.000665,7332890
2004-08-25,1.507543,1.512789,1.495301,1.502296,0.997182,6425126
2004-08-26,1.504045,1.509292,1.497049,1.500547,0.996021,3800341
